Email Subjects,Countries of origin of spam mails,Languages of spam mails,Mail categories of spam mails,Names of attachments,Names of suspicious attachments,Types of attachments,Names of identified Malware,Types of suspicious attachments
GOOGLE ALERT SPAM,United States,English,Adult Content,X.jpg,purchase order.pdf,Media,Agent,Archive
IHR KOSTENLOSES SHELLNOTFALLSET WARTET AUF SIE,Germany,German,Advertisement,logo.png,awX rX.docx,Document,Cryp,Document
SIE WURDEN FÜR EINE NINJA AIRFRYER ROTATOR AUSGEWÄHLT,Netherlands,Japanese,Miscellaneous,nllogo.png,poXfromserviceincX.docx,Archive,Crysan,Media
CAN YOU MEET ME TOMORROW,China,Chinese,Phishing,linkedinX.png,mtX usdX.rar,Miscellaneous,Minerva,Miscellaneous
X BIS X MINUTEN KÖNNEN IHR LEBEN KOMPLETT VERÄNDERN,Brazil,Miscellaneous,Finance,icongallery.png,nhpXhcivXcipl.zip,,PWSH,
X,Ukraine,Russian,Scam,XacXeXdcXaXe.jpg,scanneddocumentX X.zip,,Zmutzy,
BUSINESS FUNDING,French,Portuguese,Health,poXfromserviceincX.docx,statement.rar,,AutoIt,
WELCOME TO TIKTOK CREATORS CODE X,United Kingdom,French,Blackmail,,Xtransdraftpdf.shtm,,CVE-2017-11882,
NUR HEUTE X RABATT AUF TRAGBAREN LTEROUTER RYOKO,Russia,Estonian,,,atlas.jpg,,Formbook,
SOFORTIGER ZWEISPRACHIGER SPRACHÜBERSETZER,Latvia,Spanish,,,,,Krypt,